Наименование;Категории
Регистрация и расшифровка ЭКГ 12 отведений + 3 дополнительных с нагрузкой;B
Аспартатаминотрансфераза (АСТ);B
Ультразвуковое исследование плода в II триместре беременности;B
Кардиотокография плода;B
Прием (осмотр, консультация) врача-трихолога первичный;B
Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG;B
"Фрагментация ДНК сперматозоидов (эякулят; заключение врача КЛД по исследовательскому отчету)";B
"Внутривенная инфузия ""Золушка""";B
Витамин В9 (фолиевая кислота);B
Антитела к хеликобактеру (Helicobacter pylori), IgМ;B
Костюм для эндермотерапии на аппарате LPG;B
Ультразвуковое исследование мочевого пузыря с определением остаточной мочи;B
Скрининг рака шейки матки (жидкостная цитология) с ВПЧ-тестом (ROCHE COBAS4800);B
Тестостерон свободный (включает определение тестостерона общего и свободного, ГСПГ (SHBG), расчет индекса свободных андрогенов);B
Подкожная инъекция;C
Превенар 13 / вакцина для профилактики пневмококковых инфекций;C
Регистрация и расшифровка ЭКГ 12 отведений + 3 дополнительных;C
Лютеинизирующий гормон (ЛГ);C
Приём (осмотр, консультация) врача-уролога повторный (базовый);C
Прием (осмотр, консультация) врача-невролога повторный;C
Эстрадиол (Е2);C
Холестерин общий;C
Антитела к вирусу краснухи, IgG;C
"Пренатальный скрининг I триместра беременности PRISCA (10-13 недель; заключение врача КЛД по исследовательскому отчету): ассоциированный с беременностью протеин A (PAPP-A), свободная субъединица бета-ХГЧ";C
Ультразвуковое исследование оранов мошонки;C
Кардиотокография плода;C
Цинк;C
Магний;C
Общий анализ кала (копрограмма);C
Промывание лакун миндалин;C
Взятие мазка;C
Выдача справки в бассейн с готовыми анализами;C
Выдача справки по форме 079/у с готовым анализом (соскоб на энтеробиоз);C
Классический массаж лица (демакияж, массаж, крем) 30- 40 минут;C
Прием (осмотр, консультация) врача-терапевта повторный;C
УЗИ сосудов головы и шеи, УЗДГ сосудов шеи;C
Аллергокомплекс смешанный №1, IgE, ИФА: клещ d1/d2, ольха, береза, лещина, см.трав, рожь, полынь, подорожник, кошка, лошадь, собака, A.alternata, яич.белок, молоко, арахис, лес.орех, морковь, пшенич.мука, соя;C
ДНК возбудителей ЗППП;C
Баровоздействие - прессотерапия конечностей,пневмокомпрессия, ноги и живот, 30 минут;C
Витамин В1 (тиамин-пирофосфат), ВЭЖХ-МС;C
Витамин В12 (цианкобаламин);C
Антитела к хламидии (Chlamydia trachomatis), IgG;C
Пренатальный скрининг I триместра беременности ASTRAIA (8 недель - 13 недель 6 дн.) с расчетом риска задержки роста плода, риска преждевременных родов и преэклампсии (с учётом PLGF);C
Массаж лица на аппарате LPG (время процедуры 30 минут);C
Ультразвуковой пиллинг + альгинатная маска;C
Кальций общий;C
Микроскопическое исследование соскобов кожи на наличие патогенных грибов, скрининг;C
Общий белок;C
Пирсинг мочки уха;C
Посев мочи на микрофлору с определением чувствительности к основному спектру антибиотиков, в т.ч. кандида;C
